x_position,y_position,pose_covariance,twist_covariance
-2.0347121056477645e-17,2.5153490401663022e-17,"['(0.005001000044969843', ' 4.838449379811398e-32', ' 9.169406482782878e-34', ' -6.800840564670807e-35', ' 3.5372725697870715e-34', ' 4.188187750889246e-30', ' 4.8384117639921714e-32', ' 0.005001000044969843', ' -6.439429897308693e-34', ' 4.327626248630777e-34', ' -1.458224797009757e-34', ' -3.5584331080959085e-30', ' 9.169406482782878e-34', ' -6.439429897308693e-34', ' 1.1109815050628884e-06', ' -3.847439226769128e-29', ' 1.4598039031740317e-29', ' 7.374305426107771e-31', ' -6.800840564670807e-35', ' 4.327626248630778e-34', ' -3.847439226769128e-29', ' 1.1108519461590425e-06', ' -2.0823886858907663e-29', ' -1.086816147587927e-30', ' 3.5372725697870715e-34', ' -1.458224797009757e-34', ' 1.459803903174031e-29', ' -1.7668443238023616e-29', ' 1.1108519461589298e-06', ' 1.941479012723214e-30', ' 4.188187750889246e-30', ' -3.5584331080959085e-30', ' 7.37430542610777e-31', ' -1.086816147587927e-30', ' 1.941479012723214e-30', ' 0.043500000009985)']","['(1.9999987998196855e-09', ' 3.981871622010243e-39', ' -1.7944339244329195e-32', ' -2.250464829289274e-32', ' 2.1231130924095353e-32', ' 1.0373390817203308e-27', ' 3.981871622010242e-39', ' 1.9999987998196855e-09', ' -1.5881503556310533e-38', ' -2.461145320788487e-37', ' -8.714375800614088e-38', ' -7.901264115887241e-36', ' -1.7944339244329192e-32', ' -1.588150355630571e-38', ' 1.1109167196546248e-06', ' -2.5198507161086633e-29', ' 2.326326555959491e-29', ' 4.067837831365515e-28', ' -2.2504648292892742e-32', ' -2.4611453205889086e-37', ' -2.5198507161086644e-29', ' 1.110334178030073e-06', ' -6.477882120338234e-30', ' 9.022426290339413e-28', ' 2.1231130924095353e-32', ' -8.714375800614615e-38', ' 2.3263265559594955e-29', ' -6.45363292700825e-30', ' 1.1103341780300738e-06', ' 3.9059179171775912e-28', ' 1.0373390817203308e-27', ' -7.901264115887242e-36', ' 4.067837831365517e-28', ' 9.022426290339411e-28', ' 3.9059179171775917e-28', ' 1.999998514023993e-09)']"
5.3863309241366335e-15,-2.6080175367851096e-15,"['(0.010003785000498328', ' 8.596763713185189e-25', ' 7.257039197646341e-28', ' 7.377942915331739e-32', ' -1.0208031741613627e-31', ' 2.53298428407292e-25', ' 8.596763713185189e-25', ' 0.01000378500049833', ' 9.551123672902882e-28', ' -4.449510399984541e-32', ' 4.813926019451997e-32', ' -1.1658740355186955e-25', ' 7.257039190123177e-28', ' 9.55112367478551e-28', ' 1.998890258583883e-06', ' 1.8087345780531137e-29', ' 4.8268054743265915e-29', ' 4.604197637381101e-27', ' 7.377942915331739e-32', ' -4.4495103999851014e-32', ' 1.808734578053114e-29', ' 1.9977832483918188e-06', ' 1.7300826870791155e-27', ' -1.5433702813786645e-24', ' -1.0208031741614748e-31', ' 4.813926019451997e-32', ' 4.826805474326594e-29', ' 1.1449555318648334e-28', ' 1.997783248391602e-06', ' -2.042805999082504e-24', ' 2.53298428407292e-25', ' -1.1658740355186955e-25', ' 4.604197637381121e-27', ' -1.5433702813788526e-24', ' -2.04280599908288e-24', ' 0.03725018098407897)']","['(0.002501121692331998', ' -7.908874194474042e-29', ' -1.113899775243325e-27', ' -5.187244332673556e-32', ' 3.598655986479811e-32', ' -1.6502058463937659e-24', ' -7.908874194474042e-29', ' 0.0025011216923319975', ' -1.4160977120238833e-27', ' -1.5183035947594483e-30', ' -1.0706029833414985e-31', ' 2.5563992630587838e-24', ' -1.1138997750304503e-27', ' -1.4160977119147827e-27', ' 1.998336412846165e-06', ' -5.4309624252472404e-30', ' -3.0311092967520153e-30', ' -1.63707228559229e-27', ' -5.187244332673556e-32', ' -1.5183035947594484e-30', ' -5.430962425247246e-30', ' 1.993382277153989e-06', ' 1.0130538071767574e-28', ' 1.5883891378619667e-24', ' 3.598655986479811e-32', ' -1.0706029833414424e-31', ' -3.031109296752015e-30', ' 2.5112857828776244e-29', ' 1.993382277153989e-06', ' 2.014338278967996e-24', ' -1.6502058463937659e-24', ' 2.5563992630587838e-24', ' -1.6370722855926574e-27', ' 1.588389137861966e-24', ' 2.0143382789680072e-24', ' 0.0019994791445647475)']"
6.636013148738792e-15,8.602795115359325e-15,"['(0.015002478215282762', ' -2.9486630928161726e-22', ' -3.3470330316076278e-28', ' -2.906219180662529e-32', ' -2.332578125535125e-32', ' -4.0236970272449433e-25', ' -2.9486630928161726e-22', ' 0.015002478215282767', ' 5.398619824050312e-28', ' 2.3835895592018102e-32', ' 5.026972580062267e-33', ' 2.3856901433771891e-26', ' -3.3470330316076278e-28', ' 5.39861982428587e-28', ' 1.994478524107012e-06', ' -3.346674364629174e-29', ' -2.0913964886571142e-29', ' 1.7797694399907178e-27', ' -2.90621918066309e-32', ' 2.3835895592023707e-32', ' -3.346674364629172e-29', ' 1.9890243625204484e-06', ' 3.736272926578489e-29', ' 1.205343752806651e-25', ' -2.332578125535125e-32', ' 5.0269725800636685e-33', ' -2.0913964886571142e-29', ' 3.7362729242275004e-29', ' 1.9890243625204484e-06', ' -1.9693205662825334e-25', ' -4.0236970272449433e-25', ' 2.3856901433771891e-26', ' 1.7797694399907178e-27', ' 1.205343752806886e-25', ' -1.9693205662830036e-25', ' 0.03394599152955971)']","['(0.0025001563853316814', ' 5.143780059718247e-29', ' 3.8827433497684523e-28', ' -3.4981796370400615e-32', ' -2.2033184051060603e-32', ' -1.025828665345574e-24', ' 5.143780059718247e-29', ' 0.0025001563853316823', ' -6.91125030130448e-28', ' 7.47160561583274e-31', ' -1.848031658896362e-32', ' -1.0142495304309432e-24', ' 3.8827433498530557e-28', ' -6.911250300716962e-28', ' 1.9917431075103828e-06', ' -7.830222825430998e-30', ' -4.67890191525591e-30', ' -5.411051232682901e-28', ' -3.4981796370400615e-32', ' 7.47160561583274e-31', ' -7.830222825431002e-30', ' 1.9678564234520838e-06', ' -1.1274069151243944e-28', ' -1.1315947997374415e-25', ' -2.2033184051059202e-32', ' -1.848031658896362e-32', ' -4.6789019152559106e-30', ' 1.5004844998822863e-28', ' 1.9678564234520838e-06', ' 2.0341840739295148e-25', ' -1.025828665345574e-24', ' -1.0142495304309432e-24', ' -5.411051232681065e-28', ' -1.131594799737373e-25', ' 2.0341840739295495e-25', ' 0.0019977556460157057)']"
-4.807944499049524e-15,1.8222182525429473e-14,"['(0.02000449788168716', ' -6.045777709676205e-22', ' 6.208246253262246e-28', ' -1.5582634521172717e-31', ' -1.192770422876166e-31', ' 5.178796712955054e-25', ' -6.045777709676205e-22', ' 0.020004497881687167', ' -9.927843004049665e-28', ' 8.038581671059436e-32', ' 4.7459364587342834e-32', ' -1.3589286090250816e-25', ' 6.208246254202641e-28', ' -9.927842998409129e-28', ' 1.9986506742115766e-06', ' 1.1068651272483812e-29', ' 3.4276524843088075e-29', ' 2.500154362768146e-26', ' -1.5582634521174959e-31', ' 8.038581671060557e-32', ' 1.1068651272483824e-29', ' 1.9973053856259682e-06', ' 1.297061929571119e-26', ' -1.022873527287952e-24', ' -1.192770422876166e-31', ' 4.7459364587342834e-32', ' 3.4276524843088086e-29', ' 4.5922224476094236e-29', ' 1.9973053856259682e-06', ' 1.7406621647394473e-24', ' 5.178796712955054e-25', ' -1.3589286090250816e-25', ' 2.50015436276815e-26', ' -1.0228735272883281e-24', ' 1.7406621647396353e-24', ' 0.032068223380985625)']","['(0.002503585826484917', ' -1.7464452964988287e-29', ' -8.219581952460096e-28', ' 8.706620555526812e-31', ' -7.335642079781632e-31', ' -6.4229788116323965e-25', ' -1.7464452964988287e-29', ' 0.0025035858264849174', ' 1.5146342387137248e-27', ' 1.0918456535209096e-31', ' 5.40678699145009e-32', ' -8.870393481051323e-25', ' -8.219581952064285e-28', ' 1.5146342387017862e-27', ' 1.9979775265682644e-06', ' -3.951783994674611e-30', ' -5.891097859024431e-30', ' -7.45557489879585e-28', ' 8.706620555526868e-31', ' 1.0918456535209096e-31', ' -3.95178399467461e-30', ' 1.9919641899823737e-06', ' -1.5255011218069036e-26', ' 9.673108792399325e-25', ' -7.335642079781633e-31', ' 5.40678699145037e-32', ' -5.8910978590244364e-30', ' -1.7454138159265687e-28', ' 1.9919641899823737e-06', ' -1.789891828588377e-24', ' -6.4229788116323965e-25', ' -8.870393481051323e-25', ' -7.45557489879585e-28', ' 9.673108792399265e-25', ' -1.7898918285883415e-24', ' 0.0019992299803565134)']"
7.238368587986372e-15,1.7146370800427463e-14,"['(0.025004410572524557', ' -5.492571535637111e-22', ' -8.420990780370134e-28', ' -3.532917005481556e-32', ' 1.5462741438889592e-32', ' -3.0896742667769454e-25', ' -5.492571535637111e-22', ' 0.02500441057252456', ' 1.0339129440703917e-27', ' -3.423253810103285e-32', ' 2.076485192176779e-32', ' -1.7445764654708486e-25', ' -8.420990784130798e-28', ' 1.0339129442584708e-27', ' 1.9979214772249294e-06', ' -3.6463972933319424e-29', ' -3.4382642265055393e-29', ' 6.103335194753823e-26', ' -3.5329170054809956e-32', ' -3.4232538101027247e-32', ' -3.64639729333194e-29', ' 1.9958525279075053e-06', ' -3.1636017957775027e-27', ' 8.200229095051548e-25', ' 1.5462741438883987e-32', ' 2.076485192176779e-32', ' -3.4382642265055365e-29', ' 6.757247200776167e-29', ' 1.9958525279075053e-06', ' -1.1406621500719925e-24', ' -3.0896742667769454e-25', ' -1.7445764654708486e-25', ' 6.103335194753824e-26', ' 8.200229095051549e-25', ' -1.1406621500719925e-24', ' 0.03095538513053657)']","['(0.002502136928328095', ' -8.347958193445118e-29', ' 1.0023535992608937e-27', ' -1.5657518201188466e-30', ' 1.076763149945965e-32', ' -6.426315787898295e-28', ' -8.347958193445118e-29', ' 0.0025021369283280952', ' -1.487336919174036e-27', ' 4.191559645135461e-33', ' 1.5504556715531937e-30', ' -1.7350479462967197e-25', ' 1.0023535992637406e-27', ' -1.487336919194699e-27', ' 1.9968858103333815e-06', ' 8.940154504992473e-30', ' -6.2218474333629424e-30', ' 6.511650930772032e-28', ' -1.5657518201188463e-30', ' 4.191559645135461e-33', ' 8.940154504992473e-30', ' 1.9876710566772737e-06', ' -1.4386340595765795e-27', ' -7.821502153778142e-25', ' 1.076763149945965e-32', ' 1.5504556715531942e-30', ' -6.2218474333629536e-30', ' 3.254888389981096e-30', ' 1.9876710566772737e-06', ' 1.1546526426510071e-24', ' -6.426315787898295e-28', ' -1.7350479462967197e-25', ' 6.511650930775706e-28', ' -7.821502153778039e-25', ' 1.1546526426509667e-24', ' 0.00199867241581781)']"
1.2645579559543482e-14,7.819795949135762e-15,"['(0.030005904571163977', ' -3.3925057815384135e-22', ' -1.0539775459459205e-27', ' -1.3930431573919739e-31', ' -1.3334421306958984e-31', ' 1.5389173763979213e-24', ' -3.3925057815384135e-22', ' 0.030005904571163984', ' 9.493446448247615e-28', ' -6.014040271309494e-32', ' -5.467217741104158e-32', ' 8.364241784794923e-25', ' -1.0539775466982369e-27', ' 9.49344645200736e-28', ' 1.998650674211143e-06', ' 6.783148784472506e-29', ' 3.570311335728746e-29', ' 1.3608188354093833e-25', ' -1.3930431573917496e-31', ' -6.014040271310615e-32', ' 6.783148784472505e-29', ' 1.997305385626185e-06', ' 3.2389885965511384e-26', ' 1.8845786110391467e-24', ' -1.3334421306961226e-31', ' -5.467217741103037e-32', ' 3.570311335728745e-29', ' 7.814328822297786e-29', ' 1.9973053856259682e-06', ' -1.4471229037926979e-24', ' 1.5389173763979213e-24', ' 8.364241784794923e-25', ' 1.360818835409384e-25', ' 1.8845786110389587e-24', ' -1.4471229037926979e-24', ' 0.030281340411179972)']","['(0.0025062054925163754', ' -5.45103472028745e-28', ' 1.322135953179305e-27', ' -1.9178688691152997e-32', ' -8.763393794653966e-32', ' 8.672769714082924e-25', ' -5.45103472028745e-28', ' 0.002506205492516376', ' -1.5099429017300973e-27', ' -1.427503026805133e-32', ' -7.261744199626073e-32', ' 6.490108917761857e-25', ' 1.322135953364629e-27', ' -1.509942901870973e-27', ' 1.9979775265682644e-06', ' 4.633717520410175e-30', ' -2.8511432011406856e-29', ' 5.070155241732416e-28', ' -1.9178688691154398e-32', ' -1.427503026805203e-32', ' 4.633717520410175e-30', ' 1.9919641899833495e-06', ' 2.042400469639565e-26', ' -1.579300452565987e-24', ' -8.763393794654527e-32', ' -7.261744199626353e-32', ' -2.8511432011406845e-29', ' -6.843521916949812e-29', ' 1.9919641899833495e-06', ' 1.7992947258742348e-24', ' 8.672769714082924e-25', ' 6.490108917761857e-25', ' 5.070155241733335e-28', ' -1.5793004525659369e-24', ' 1.7992947258742693e-24', ' 0.0019992300889936114)']"
1.319654262410658e-14,-1.838551386815057e-14,"['(0.035007660832200936', ' 9.324071742813853e-22', ' -2.6081829465540803e-27', ' -4.51752970665137e-32', ' -9.095764583959513e-32', ' -1.005056529480109e-24', ' 9.324071742813853e-22', ' 0.035007660832200936', ' 1.858062037337072e-27', ' 1.0433606779071038e-31', ' 2.7528832679530827e-31', ' 3.727140902011019e-24', ' -2.608182946554815e-27', ' 1.8580620365847556e-27', ' 1.998937425870019e-06', ' -5.583388235639844e-29', ' -9.570268480556827e-29', ' -2.3530669001831744e-25', ' -4.517529706651931e-32', ' 1.0433606779071038e-31', ' -5.583388235639845e-29', ' 1.997877355779283e-06', ' -1.2867383040533261e-26', ' 5.856825967413089e-24', ' -9.095764583958392e-32', ' 2.7528832679530827e-31', ' -9.570268480556826e-29', ' 5.731403079587528e-29', ' 1.9978773557795e-06', ' -3.752451961811293e-24', ' -1.005056529480109e-24', ' 3.727140902011019e-24', ' -2.3530669001831726e-25', ' 5.856825967413842e-24', ' -3.752451961811293e-24', ' 0.029867048053361107)']","['(0.002511840938598014', ' 1.8013259208282784e-27', ' 3.4410752985738215e-27', ' 1.8173181405269677e-32', ' 1.385815801416668e-32', ' -2.649090960429166e-25', ' 1.8013259208282784e-27', ' 0.002511840938598014', ' -3.1668950992827365e-27', ' 3.3605863525937446e-32', ' 4.358176908065763e-32', ' -6.490517117957327e-25', ' 3.4410752995200944e-27', ' -3.1668951001173375e-27', ' 1.9984070784983144e-06', ' -2.9299229522922178e-30', ' -1.0482131501770071e-29', ' 3.3029198656210315e-28', ' 1.8173181405269677e-32', ' 3.360586352593885e-32', ' -2.9299229522922174e-30', ' 1.993661899476302e-06', ' 1.6218948309417675e-26', ' -5.184583805489045e-24', ' 1.385815801416738e-32', ' 4.3581769080660434e-32', ' -1.0482131501770071e-29', ' 1.447882654141382e-28', ' 1.993661899476302e-06', ' 4.7630028906168625e-24', ' -2.649090960429166e-25', ' -6.490517117957327e-25', ' 3.3029198656205724e-28', ' -5.1845838054888704e-24', ' 4.7630028906170286e-24', ' 0.0019995330798188264)']"
-5.8339474908276284e-15,-4.330210925084913e-14,"['(0.04000737561673427', ' 1.6754002209383805e-21', ' -1.4870342773150833e-27', ' -8.377573573452147e-32', ' 5.380999744128807e-32', ' -2.4686705428935927e-24', ' 1.6754002209383805e-21', ' 0.040007375616734286', ' 6.208751589272306e-28', ' -6.252324111967883e-32', ' 4.6283888397337434e-32', ' -1.907097711770631e-24', ' -1.4870342770798926e-27', ' 6.2087515888021085e-28', ' 1.9964426858520455e-06', ' -1.5429530140345194e-29', ' 2.2613492008030327e-29', ' 1.1120030123673195e-25', ' -8.377573573449905e-32', ' -6.252324111966762e-32', ' -1.542953014034519e-29', ' 1.9929133707807865e-06', ' 3.1515517639080797e-27', ' 3.044502681196674e-25', ' 5.380999744128807e-32', ' 4.6283888397348644e-32', ' 2.2613492008030338e-29', ' -7.962250406526377e-29', ' 1.992913370780624e-06', ' -5.497055832988359e-26', ' -2.4686705428935927e-24', ' -1.907097711770631e-24', ' 1.1120030123673195e-25', ' 3.044502681197614e-25', ' -5.497055832993056e-26', ' 0.029608759425675486)']","['(0.0025012703409390967', ' -1.2116927111131623e-27', ' 8.7538874054698e-28', ' -6.279849276441966e-33', ' -1.3623012691044777e-32', ' 4.654128796843858e-26', ' -1.2116927111131623e-27', ' 0.002501270340939097', ' -5.191325344281228e-28', ' -8.089708884575299e-33', ' -1.0083953471767207e-32', ' 2.8299054407863503e-25', ' 8.753887405234241e-28', ' -5.191325343957967e-28', ' 1.9946745498405265e-06', ' 2.0446200942537866e-29', ' 1.7519571252963813e-30', ' -1.225066508704941e-27', ' -6.279849276441966e-33', ' -8.089708884575299e-33', ' 2.0446200942537866e-29', ' 1.979069373182806e-06', ' 2.0176498264271463e-27', ' -4.306293237453056e-25', ' -1.3623012691044777e-32', ' -1.0083953471767908e-32', ' 1.751957125296381e-30', ' 6.138217517439853e-28', ' 1.979069373182806e-06', ' 2.5162226353671625e-25', ' 4.654128796843858e-26', ' 2.8299054407863503e-25', ' -1.2250665087045737e-27', ' -4.306293237453016e-25', ' 2.5162226353671083e-25', ' 0.0019980969258706605)']"
3.520081140888548e-15,-5.1509640449524474e-14,"['(0.044958728802750605', ' 1.7530662274792414e-21', ' 7.340330555800847e-28', ' -2.240731824107941e-32', ' 4.223715652786949e-32', ' -1.2869145717570834e-25', ' 1.7530662274792414e-21', ' 0.04495872880275063', ' 8.637163924589442e-28', ' 2.6523029331149765e-32', ' -1.8567200303797234e-32', ' -3.0851129479346978e-27', ' 7.340330559561511e-28', ' 8.637163932111688e-28', ' 1.9979214772114853e-06', ' -9.213050023396177e-30', ' 3.5153356925498423e-31', ' 7.439041108944974e-28', ' -2.240731824107941e-32', ' 2.6523029331149765e-32', ' -9.213050023396186e-30', ' 1.9958525278069997e-06', ' -6.4114805838158564e-27', ' -5.849269195878302e-25', ' 4.2237156527875096e-32', ' -1.8567200303797234e-32', ' 3.515335692549394e-31', ' 5.086795194275141e-29', ' 1.995852527807108e-06', ' -7.055420274134937e-25', ' -1.2869145717570834e-25', ' -3.0851129479346978e-27', ' 7.43904110894543e-28', ' -5.849269195880183e-25', ' -7.055420274135877e-25', ' 0.02941090698041858)']","['(0.002479164366743215', ' -1.0386554426462714e-27', ' -8.633398252817989e-28', ' -1.5430636665423187e-30', ' -1.0565671791858223e-32', ' -3.249413404376288e-26', ' -1.0386554426462714e-27', ' 0.002479164366743215', ' -7.446016343751492e-28', ' 7.401177408771081e-32', ' -3.6742495274885526e-32', ' -7.046375342505169e-26', ' -8.633398253289105e-28', ' -7.446016343869042e-28', ' 1.996885810290989e-06', ' -1.2789405551738604e-29', ' -4.764128101273031e-30', ' 1.3712544490627e-29', ' -1.5430636665423187e-30', ' 7.40117740877052e-32', ' -1.2789405551738604e-29', ' 1.9876710540262367e-06', ' -1.2354844130719512e-26', ' 6.953766571289204e-25', ' -1.0565671791856822e-32', ' -3.6742495274882723e-32', ' -4.764128101273031e-30', ' -6.4190328559325515e-28', ' 1.9876710540262367e-06', ' 5.974481363822211e-25', ' -3.249413404376288e-26', ' -7.046375342505169e-26', ' 1.3712544490627e-29', ' 6.953766571289995e-25', ' 5.97448136382226e-25', ' 0.001978723206019091)']"
1.8582011366430212e-15,-3.0858177578374363e-14,"['(0.05005960860007565', ' 1.4787317732940555e-21', ' -6.620306048134795e-28', ' -3.883853415969339e-32', ' -2.003348695553621e-31', ' 4.862324122825865e-25', ' 1.4787317732940555e-21', ' 0.05005960860007569', ' -7.657535696903975e-28', ' 1.9681638513442804e-32', ' 2.1276908691444257e-31', ' -6.558108405639293e-25', ' -6.620306049074961e-28', ' -7.657535696903515e-28', ' 1.995027621351248e-06', ' -8.88022478634295e-30', ' -6.832410775287314e-30', ' -9.401871430461736e-27', ' -3.883853415969339e-32', ' 1.9681638513442804e-32', ' -8.880224786342959e-30', ' 1.990109866670882e-06', ' -2.420501616367896e-27', ' 2.100744456245245e-25', ' -2.0033486955540694e-31', ' 2.127690869144874e-31', ' -6.832410775287319e-30', ' 2.8790844710523153e-30', ' 1.9901098666707737e-06', ' 1.6437588165205227e-25', ' 4.862324122825865e-25', ' -6.558108405639293e-25', ' -9.401871430461696e-27', ' 2.1007444562454803e-25', ' 1.6437588165205227e-25', ' 0.029399157338562805)']","['(0.002550811890123023', ' -3.6273883789256406e-28', ' 1.6023633750809258e-28', ' 7.410621173855401e-31', ' 1.512341970701792e-30', ' -6.433907607706687e-25', ' -3.6273883789256406e-28', ' 0.002550811890123023', ' 1.6839749644748048e-28', ' 7.817854410983282e-33', ' -1.5602236064578935e-32', ' 2.1332100699656557e-25', ' 1.6023633749928785e-28', ' 1.6839749645042496e-28', ' 1.9925619735350125e-06', ' 8.347367723938686e-30', ' 8.652685988864455e-30', ' 2.450332426930912e-28', ' 7.410621173855373e-31', ' 7.817854410983282e-33', ' 8.347367723938688e-30', ' 1.9709671322250093e-06', ' -6.729358485690294e-28', ' -6.344375473095608e-26', ' 1.512341970701789e-30', ' -1.5602236064578935e-32', ' 8.652685988864458e-30', ' -1.148115063298271e-29', ' 1.9709671322250093e-06', ' -6.343378883247402e-26', ' -6.433907607706687e-25', ' 2.1332100699656557e-25', ' 2.450332426930453e-28', ' -6.3443754730957e-26', ' -6.343378883247613e-26', ' 0.0020376822987134753)']"
