x_position,y_position,pose_covariance,twist_covariance
0.0,0.0,"['(1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06)']","['(1.9970039950059757e-09', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1.9970039950059757e-09', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1.9970039950059757e-09)']"
1.4094628242311471e-18,1.3971292028390608e-17,"['(0.005001000019970023', ' -7.122825875427377e-37', ' -3.346741269980152e-34', ' -6.266175561964757e-34', ' -6.251166917867579e-34', ' 4.8900805652456054e-36', ' -7.122825875427377e-37', ' 0.005001000019970023', ' 1.6155467633027416e-33', ' 6.643803825362554e-34', ' 1.3370316776667193e-33', ' -2.846151639978432e-34', ' -3.3467412699801515e-34', ' 1.6155467633027416e-33', ' 1.9995001738111473e-06', ' -1.963695830731807e-28', ' -1.8730585848557585e-28', ' -5.301515208354265e-34', ' -6.2661755619647575e-34', ' 6.643803825362553e-34', ' -1.9636958307318075e-28', ' 1.999000695011681e-06', ' 1.4068259243992455e-28', ' -5.589947371740687e-34', ' -6.251166917867579e-34', ' 1.3370316776667193e-33', ' -1.8730585848557585e-28', ' 1.4068259243992455e-28', ' 1.99900069501038e-06', ' -5.400674118092387e-34', ' 4.8900805652456054e-36', ' -2.846151639978432e-34', ' -5.301515208354265e-34', ' -5.589947371740687e-34', ' -5.400674118092387e-34', ' 0.00600100001996949)']","['(3.999992799225832e-09', ' 7.963724131092874e-39', ' -3.58751841819298e-32', ' -4.49418689450428e-32', ' 4.239864987568185e-32', ' 2.074672561828647e-27', ' 7.963724131092874e-39', ' 3.999992800093194e-09', ' -6.855399844081832e-30', ' 1.3262716361353442e-29', ' 2.5329606981489664e-29', ' 6.667600577698136e-30', ' -3.58751841819298e-32', ' -6.855399844081834e-30', ' 1.9992503900783873e-06', ' -3.36775518271247e-29', ' 9.813035055322139e-29', ' 8.147359146505166e-28', ' -4.4941868945042806e-32', ' 1.326271636135344e-29', ' -3.3677551827124706e-29', ' 1.9970062317476497e-06', ' 4.750969755526096e-29', ' 1.8269611597022954e-27', ' 4.239864987568185e-32', ' 2.532960698148967e-29', ' 9.81303505532214e-29', ' 4.7509697555260604e-29', ' 1.9970062317478665e-06', ' 7.622774137647723e-28', ' 2.074672561828647e-27', ' 6.667600577698133e-30', ' 8.147359146505168e-28', ' 1.826961159702295e-27', ' 7.622774137647722e-28', ' 3.999991028506844e-09)']"
-8.629077677235569e-15,-6.675890604942595e-15,"['(0.010001000059997775', ' -4.648930153213438e-15', ' 7.676665369601502e-27', ' -1.6621624598963044e-30', ' -8.182888751290954e-30', ' 3.7723593709281223e-25', ' -4.648930153213438e-15', ' 0.010001025034941307', ' 1.2203152301614265e-26', ' -1.5316685524202948e-30', ' -9.642704796304825e-30', ' 3.657788556808038e-25', ' 7.67666536960738e-27', ' 1.2203152301614265e-26', ' 1.9995002037958426e-06', ' 1.357354802741158e-28', ' 3.805511385787754e-29', ' 3.267205360915155e-27', ' -1.6621624598963044e-30', ' -1.5316685524202944e-30', ' 1.3573548027411582e-28', ' 1.999000814816021e-06', ' -1.448361562956066e-28', ' 1.5805997474419747e-17', ' -8.182888751290956e-30', ' -9.642704796304825e-30', ' 3.8055113857877563e-29', ' -1.4473754887053308e-28', ' 1.9990008148168883e-06', ' -7.372348045198547e-18', ' 3.7723593709281223e-25', ' 3.657788556808038e-25', ' 3.267205360915154e-27', ' 1.5805997474419747e-17', ' -7.372348045198545e-18', ' 0.01188547533290107)']","['(0.0018752823349721622', ' -2.0221798501063874e-29', ' -8.183651198185872e-28', ' 4.1329355219340914e-30', ' -4.6957420275218694e-30', ' -4.121424976725275e-25', ' -2.0221798501063874e-29', ' 0.0018802765155741265', ' -2.0494188315036324e-26', ' -8.78066297802141e-30', ' 2.378010309895882e-30', ' 6.6272044431164045e-25', ' -8.183651198185527e-28', ' -2.049418831502457e-26', ' 1.9992504578869932e-06', ' -4.297470336424495e-29', ' 1.7289356558829072e-29', ' -2.1055904682178417e-25', ' 4.132935521934095e-30', ' -8.780662978021414e-30', ' -4.297470336424497e-29', ' 1.997007304646581e-06', ' 9.66949975147988e-29', ' 1.4388229408554315e-24', ' -4.695742027521873e-30', ' 2.378010309895886e-30', ' 1.7289356558829078e-29', ' 9.668506366881205e-29', ' 1.9970073046467977e-06', ' 1.3851793015641853e-24', ' -4.1214249767252755e-25', ' 6.6272044431164045e-25', ' -2.1055904682178417e-25', ' 1.4388229408554315e-24', ' 1.3851793015641855e-24', ' 0.001499871760306493)']"
-1.678890001921381e-14,-5.310609995034335e-15,"['(0.01501649806756809', ' -2.9511793840960063e-09', ' -1.510802868293597e-23', ' 1.1406177940061987e-30', ' 2.2020301831334386e-30', ' 1.8669772409218758e-25', ' -2.9511793840960196e-09', ' 0.015016708543723192', ' 8.024314722830968e-24', ' -1.4182360428877826e-30', ' -1.8028348257146983e-30', ' -5.62975186054128e-26', ' -1.5108028682948006e-23', ' 8.024314722824949e-24', ' 1.9995002037975773e-06', ' 4.083604578767935e-30', ' -6.381072009218656e-29', ' 1.3186185087270423e-26', ' 1.1406177940061987e-30', ' -1.4182360428877828e-30', ' 4.083604578767956e-30', ' 1.9990008148138526e-06', ' -1.0023628132316605e-29', ' 1.9542664896083516e-17', ' 2.2020301831334386e-30', ' -1.8028348257146987e-30', ' -6.381072009218658e-29', ' -1.0026709620227624e-29', ' 1.9990008148142863e-06', ' 1.0306159477648348e-17', ' 1.8669772409218758e-25', ' -5.62975186054128e-26', ' 1.3186185087270423e-26', ' 1.9542664896083516e-17', ' 1.0306159477648348e-17', ' 0.01709638055330924)']","['(0.0026034712387431754', ' -9.90291551822225e-25', ' 7.372557438889303e-24', ' -3.270749336000581e-30', ' -4.600493798007015e-30', ' -1.924751112054711e-24', ' -9.90291551822225e-25', ' 0.0026154237894721404', ' -4.1228709502434856e-24', ' 3.212594155898001e-30', ' 5.420125918145593e-30', ' -6.881766168718575e-25', ' 7.37255743890134e-24', ' -4.122870950246495e-24', ' 1.999250457886126e-06', ' 4.2049159218546083e-29', ' 1.572227758881233e-28', ' 1.4525070770931089e-24', ' -3.270749336000584e-30', ' 3.2125941558980026e-30', ' 4.204915921854609e-29', ' 1.997007304647448e-06', ' 8.618028512242465e-27', ' -1.7561076007986736e-20', ' -4.600493798007014e-30', ' 5.4201259181455944e-30', ' 1.5722277588812333e-28', ' 1.0380234952405504e-28', ' 1.997007304646581e-06', ' 1.505406687030089e-20', ' -1.924751112054711e-24', ' -6.881766168718577e-25', ' 1.4525070770931092e-24', ' -1.756107600798673e-20', ' 1.5054066870300883e-20', ' 0.0020814104475022502)']"
-2.118141942780014e-14,2.000144321656254e-15,"['(0.020052646751982674', ' -1.5274507169449475e-08', ' -2.1365776044520988e-23', ' -3.588638444596411e-30', ' -4.164643672969015e-30', ' 1.2038631029926615e-25', ' -1.52745071694495e-08', ' 0.02005320546879426', ' -7.242180126454151e-24', ' -1.0043437219828127e-30', ' -4.289342066892394e-30', ' -3.2023302317974246e-25', ' -2.1365776044533025e-23', ' -7.242180126448133e-24', ' 1.9995002037958426e-06', ' -1.2953403513837045e-29', ' 1.0084902991335933e-28', ' 2.2616716155518467e-26', ' -3.5886384445964094e-30', ' -1.0043437219828127e-30', ' -1.295340351383705e-29', ' 1.99900081481472e-06', ' 2.5907082285554496e-26', ' 5.618569309729045e-17', ' -4.1646436729690165e-30', ' -4.289342066892394e-30', ' 1.0084902991335934e-28', ' 5.767581732073687e-29', ' 1.99900081481472e-06', ' -6.011170976323372e-18', ' 1.2038631029926615e-25', ' -3.2023302317974246e-25', ' 2.2616716155518467e-26', ' 5.618569309729045e-17', ' -6.011170976323369e-18', ' 0.02104883011735907)']","['(0.0028064571133015834', ' -2.829877718576044e-23', ' 7.446333761794758e-24', ' -7.585242113069082e-29', ' 7.744810247973437e-29', ' -1.288239822145269e-25', ' -2.829877718576044e-23', ' 0.00282517896650805', ' 2.2370337340225194e-24', ' -2.5658993287840813e-29', ' 2.592402461269733e-29', ' -2.8663126368756387e-24', ' 7.446333761782721e-24', ' 2.23703373401951e-24', ' 1.999250457884391e-06', ' -6.936555091273443e-32', ' 2.5436075434430547e-29', ' -1.9662588105800732e-26', ' -7.585242113069084e-29', ' -2.565899328784082e-29', ' -6.936555091273162e-32', ' 1.997007304647448e-06', ' 3.656255949882849e-26', ' -6.611055497963569e-21', ' 7.74481024797344e-29', ' 2.592402461269732e-29', ' 2.543607543443056e-29', ' -1.5396590113845888e-26', ' 1.997007304647665e-06', ' -7.801870685739352e-21', ' -1.288239822145269e-25', ' -2.8663126368756384e-24', ' -1.9662588105800732e-26', ' -6.611055497963566e-21', ' -7.801870685739349e-21', ' 0.0022424681667116172)']"
-2.880226715549099e-14,1.2709562057652208e-14,"['(0.025101120697075346', ' -4.0957079858996026e-08', ' -2.233960035207451e-23', ' -5.8847405614424726e-30', ' 6.058803417607655e-31', ' 1.104720140061836e-24', ' -4.095707985899602e-08', ' 0.025102113765069586', ' 1.785114636727791e-23', ' 3.2190202979797096e-30', ' -5.15198377078825e-30', ' -1.288499871116571e-24', ' -2.233960035211062e-23', ' 1.7851146367301986e-23', ' 1.9995002037975773e-06', ' -9.674573511897248e-29', ' 8.553189940861456e-29', ' 2.638576369972247e-26', ' -5.884740561442472e-30', ' 3.219020297979708e-30', ' -9.674573511897247e-29', ' 1.9990008148138526e-06', ' -6.051564016769773e-29', ' 2.4780686378549462e-17', ' 6.058803417607662e-31', ' -5.151983770788251e-30', ' 8.553189940861459e-29', ' -6.052180314351977e-29', ' 1.9990008148138526e-06', ' 1.128112109330067e-17', ' 1.104720140061836e-24', ' -1.2884998711165712e-24', ' 2.6385763699722477e-26', ' 2.4780686378549462e-17', ' 1.1281121093300667e-17', ' 0.023622780658580332)']","['(0.0028558804957388947', ' 6.07282147519649e-23', ' 6.0883558111316734e-24', ' -1.887425511531318e-29', ' -9.700008258619054e-31', ' 6.253079330137136e-25', ' 6.072821475196491e-23', ' 0.0028819379122133376', ' -5.422805942063802e-24', ' 1.5465939513093005e-29', ' 6.1822546920485314e-30', ' -1.8631324219619577e-25', ' 6.0883558111437104e-24', ' -5.422805942057783e-24', ' 1.9992504578852585e-06', ' 9.149087708346981e-29', ' 2.8097438045992542e-30', ' -6.023221648454152e-25', ' -1.8874255115313168e-29', ' 1.5465939513093005e-29', ' 9.149087708346984e-29', ' 1.9970073046472313e-06', ' -3.5899786623916563e-26', ' 6.90652279232843e-22', ' -9.70000825861911e-31', ' 6.182254692048532e-30', ' 2.809743804599252e-30', ' -1.4460482261121766e-27', ' 1.9970073046470145e-06', ' 1.9498424043219828e-20', ' 6.253079330137136e-25', ' -1.8631324219619574e-25', ' -6.023221648454155e-25', ' 6.90652279232849e-22', ' 1.9498424043219822e-20', ' 0.0022818932589386805)']"
-3.647189316361002e-14,3.312408523000748e-15,"['(0.030155986016559444', ' -8.333314560706513e-08', ' 2.966095551316059e-23', ' -4.517158272889807e-30', ' -5.250100685100049e-30', ' 1.5977050531458822e-24', ' -8.333314560706492e-08', ' 0.030157471687900072', ' 4.6882452381861863e-23', ' -5.2529681740015595e-31', ' -7.261817631487822e-30', ' 2.237754296818033e-24', ' 2.966095551316059e-23', ' 4.688245238183779e-23', ' 1.9995002037958426e-06', ' -2.3926589149632657e-29', ' -9.111337682037171e-29', ' 7.587882808114043e-26', ' -4.517158272889807e-30', ' -5.252968174001563e-31', ' -2.3926589149632713e-29', ' 1.9990008148129852e-06', ' -5.210287903137612e-26', ' -5.955144766287249e-17', ' -5.2501006851000496e-30', ' -7.261817631487825e-30', ' -9.11133768203717e-29', ' -4.041030727635353e-28', ' 1.9990008148129852e-06', ' -3.383664992416983e-17', ' 1.5977050531458822e-24', ' 2.237754296818033e-24', ' 7.587882808114043e-26', ' -5.955144766287249e-17', ' -3.383664992416983e-17', ' 0.025108018222600264)']","['(0.0028703616800067992', ' 8.730203747608609e-23', ' -8.419385997448459e-24', ' 3.05727962724938e-29', ' 5.752991139165798e-29', ' 5.060941934573718e-25', ' 8.730203747608609e-23', ' 0.002904518127198398', ' -1.1588748965480378e-23', ' 1.0683311698738306e-29', ' 8.95824565380456e-30', ' 5.228854089345322e-25', ' -8.419385997448459e-24', ' -1.1588748965468341e-23', ' 1.9992504578869932e-06', ' 1.498133015707475e-29', ' -6.783912255885372e-29', ' 9.466997506349382e-26', ' 3.05727962724938e-29', ' 1.0683311698738309e-29', ' 1.498133015707476e-29', ' 1.997007304647882e-06', ' 3.7453272334276913e-26', ' 2.6647769194389896e-20', ' 5.752991139165798e-29', ' 8.95824565380456e-30', ' -6.783912255885373e-29', ' 2.0291380275939387e-26', ' 1.9970073046470145e-06', ' 3.8900808243492364e-20', ' 5.060941934573718e-25', ' 5.228854089345322e-25', ' 9.466997506349388e-26', ' 2.6647769194389908e-20', ' 3.890080824349237e-20', ' 0.0022916861988375252)']"
-2.7096809832545778e-14,1.5999463100599743e-14,"['(0.035214181388989706', ' -1.4707075376771777e-07', ' 4.328781775647052e-23', ' -1.6636800862221202e-30', ' -4.738425827595109e-30', ' 2.0305165758933172e-25', ' -1.4707075376771783e-07', ' 0.03521622509121789', ' -1.4201719642960758e-23', ' -4.8679010881970704e-32', ' -4.8636147558438295e-30', ' 4.168218840049342e-25', ' 4.328781775642237e-23', ' -1.4201719642960758e-23', ' 1.9995002037949752e-06', ' -1.6835400774402258e-28', ' -1.122653682233259e-29', ' 3.7553149989482456e-26', ' -1.6636800862221202e-30', ' -4.8679010881971054e-32', ' -1.6835400774402258e-28', ' 1.9990008148155873e-06', ' -1.0285434368467239e-25', ' 5.114162189427225e-17', ' -4.738425827595109e-30', ' -4.8636147558438295e-30', ' -1.1226536822332601e-29', ' 5.432328844560695e-28', ' 1.9990008148155873e-06', ' 4.670692975988759e-17', ' 2.0305165758933172e-25', ' 4.168218840049342e-25', ' 3.7553149989482456e-26', ' 5.114162189427225e-17', ' 4.6706929759887605e-17', ' 0.025892025166791007)']","['(0.002877401071240917', ' -3.047378981386537e-23', ' -1.021430704358783e-23', ' 2.0011319789500624e-30', ' -2.140523240567365e-30', ' -7.730326928708107e-26', ' -3.0473789813865344e-23', ' 0.0029201113487220204', ' 4.3817578555232646e-24', ' 1.8690127825974407e-30', ' 4.085326636756307e-30', ' -8.133475479307766e-25', ' -1.021430704358783e-23', ' 4.381757855526274e-24', ' 1.999250457884391e-06', ' -7.21129921968674e-29', ' -4.0683228964749785e-29', ' 1.2682540996815885e-24', ' 2.001131978950068e-30', ' 1.869012782597442e-30', ' -7.211299219686742e-29', ' 1.997007304647448e-06', ' 1.0362739044898245e-25', ' -9.134004376872173e-21', ' -2.1405232405673706e-30', ' 4.085326636756307e-30', ' -4.068322896474979e-29', ' 1.6350229261949016e-26', ' 1.9970073046467977e-06', ' -1.313922579940027e-20', ' -7.730326928708111e-26', ' -8.133475479307765e-25', ' 1.2682540996815886e-24', ' -9.134004376872185e-21', ' -1.3139225799400282e-20', ' 0.002294204302041771)']"
-1.3401176509364618e-14,8.473938105661289e-15,"['(0.04027404852783479', ' -2.373938507791731e-07', ' 1.0444470048339577e-24', ' 9.849159741166796e-30', ' -3.871176152047198e-30', ' 2.5109601125492718e-24', ' -2.3739385077917303e-07', ' 0.040276726714850365', ' -3.7528022801547796e-23', ' 1.0697946700045561e-30', ' -7.966437894484324e-30', ' -1.291257243271714e-24', ' 1.0444470048332054e-24', ' -3.7528022801547796e-23', ' 1.9995002037975773e-06', ' 1.1366125867719507e-28', ' -1.1035615448572767e-28', ' -3.072852355135903e-26', ' 9.849159741166796e-30', ' 1.0697946700045563e-30', ' 1.1366125867719507e-28', ' 1.9990008148138526e-06', ' -1.0380696573466335e-25', ' -3.95440323042663e-17', ' -3.8711761520471984e-30', ' -7.966437894484326e-30', ' -1.1035615448572774e-28', ' -4.094014914865333e-28', ' 1.9990008148138526e-06', ' 9.067771908399298e-17', ' 2.510960112549272e-24', ' -1.291257243271714e-24', ' -3.072852355135903e-26', ' -3.954403230426628e-17', ' 9.067771908399298e-17', ' 0.026277595612882693)']","['(0.002872380415635467', ' -2.6985678647370827e-23', ' 6.699078219855569e-25', ' 4.0720218004192085e-29', ' -3.8409546536400714e-29', ' 6.641839752334354e-25', ' -2.6985678647370827e-23', ' 0.0029233572932594065', ' 8.945173418538173e-24', ' 1.3763342433854698e-29', ' -1.35230579249367e-29', ' -1.8104503279043632e-24', ' 6.699078219870615e-25', ' 8.945173418544191e-24', ' 1.9992504578869932e-06', ' -9.989138579198726e-30', ' 7.607598481120437e-29', ' 8.634018157422404e-25', ' 4.072021800419209e-29', ' 1.37633424338547e-29', ' -9.989138579198737e-30', ' 1.9970073046472313e-06', ' 7.0977012054489e-26', ' 9.54951299695283e-21', ' -3.8409546536400736e-29', ' -1.3523057924936704e-29', ' 7.607598481120435e-29', ' 2.5885474104367992e-27', ' 1.997007304647882e-06', ' -2.92028370824126e-21', ' 6.641839752334354e-25', ' -1.8104503279043632e-24', ' 8.634018157422408e-25', ' 9.549512996952836e-21', ' -2.920283708241248e-21', ' 0.0022938907358661872)']"
-1.5902842418226423e-14,1.6265380934900297e-14,"['(0.04528361847944906', ' -3.565422320752041e-07', ' -1.8291588668680305e-23', ' -2.710040034403248e-30', ' 1.8141821639849288e-30', ' -8.037055841495602e-26', ' -3.565422320752031e-07', ' 0.04528699462409252', ' -1.4300749121221386e-23', ' 3.217879491419653e-31', ' 1.1159626471546005e-30', ' 2.30922181510959e-25', ' -1.829158866865623e-23', ' -1.4300749121221386e-23', ' 1.9994951574271377e-06', ' 4.64226468889127e-30', ' -7.887485450327085e-29', ' -4.229137549720711e-26', ' -2.710040034403248e-30', ' 3.217879491419655e-31', ' 4.6422646888912814e-30', ' 1.998990730327655e-06', ' 1.0367590169293955e-25', ' 3.513831713289694e-17', ' 1.814182163984927e-30', ' 1.1159626471546008e-30', ' -7.887485450327083e-29', ' 2.783251238110872e-28', ' 1.998990730327655e-06', ' 8.288504651318837e-17', ' -8.0370558414956e-26', ' 2.3092218151095896e-25', ' -4.229137549720712e-26', ' 3.513831713289695e-17', ' 8.288504651318837e-17', ' 0.026386461293320382)']","['(0.0028511590625719565', ' 2.698922258781613e-23', ' 4.606234809654677e-24', ' 8.52025493038339e-30', ' -8.144415933013535e-30', ' -2.5474149650866057e-25', ' 2.6989222587816116e-23', ' 0.0029094388302482337', ' 2.8030700239621615e-24', ' 9.235672260286763e-31', ' 6.526305946280336e-30', ' -9.98431424193754e-25', ' 4.6062348096576864e-24', ' 2.803070023963666e-24', ' 1.999242891423912e-06', ' -8.681352173093462e-29', ' 2.156555581570488e-29', ' -1.2269609056928804e-24', ' 8.520254930383393e-30', ' 9.235672260286777e-31', ' -8.681352173093464e-29', ' 1.9969771499301833e-06', ' -1.2621400116004041e-26', ' -1.7048128761921384e-20', ' -8.144415933013544e-30', ' 6.526305946280336e-30', ' 2.156555581570488e-29', ' -1.2890596993844601e-26', ' 1.9969771499299665e-06', ' 3.229682325297657e-20', ' -2.547414965086606e-25', ' -9.98431424193754e-25', ' -1.2269609056928807e-24', ' -1.7048128761921384e-20', ' 3.229682325297658e-20', ' 0.0022767225460358356)']"
