x_position,y_position,pose_covariance,twist_covariance
0.0,0.0,"['(1e-09', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-09', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-09)']","['(0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0)']"
2.0685092845677708e-19,2.0685092845677708e-19,"['(0.005000001', ' 3.103123340412425e-37', ' -1.2482821651104644e-35', ' -9.317118056256585e-36', ' -1.0176627636492192e-35', ' 0.0', ' 3.103123340412425e-37', ' 0.005000001', ' -1.4739770804683324e-35', ' -9.317118056269927e-36', ' -1.0176627636505535e-35', ' 0.0', ' -1.2482821651104644e-35', ' -1.473977080468332e-35', ' 1.1109815079681595e-06', ' -8.320187570715417e-30', ' -1.1152017027337382e-29', ' 0.0', ' -9.317118056256586e-36', ' -9.317118056269929e-36', ' -8.320187570715425e-30', ' 1.1108519577793943e-06', ' 1.7736455140393714e-30', ' 0.0', ' -1.0176627636492194e-35', ' -1.0176627636505535e-35', ' -1.1152017027337382e-29', ' 1.7736455140393714e-30', ' 1.1108519577795061e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.005931123417000723)']","['(0.0024999999999999996', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0024999999999999996', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1.1109166898139784e-06', ' -1.430919701547229e-33', ' 2.193108058529754e-33', ' 0.0', ' 0.0', ' 0.0', ' -1.4309197015472275e-33', ' 1.110333703629682e-06', ' 9.517685847856304e-37', ' 0.0', ' 0.0', ' 0.0', ' 2.193108058529754e-33', ' 9.517685847856303e-37', ' 1.1103337036296809e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0019970414201183426)']"
8.687157758845908e-15,1.5921788284687863e-15,"['(0.010052683139156214', ' -9.046749498467779e-28', ' 2.997984478309543e-28', ' -4.6015006832832664e-32', ' 1.2666273882919955e-31', ' -3.225591055195427e-28', ' -9.046749498467779e-28', ' 0.010052683139156214', ' -2.453415510669304e-28', ' -1.4168898627220706e-32', ' 2.52561397471903e-32', ' 2.0954833844816228e-29', ' 2.997984475018159e-28', ' -2.4534155092582517e-28', ' 1.998838709309919e-06', ' 5.036818797032709e-29', ' -9.874769997327761e-29', ' 1.279711725910663e-31', ' -4.601500683283827e-32', ' -1.4168898627220706e-32', ' 5.0368187970327085e-29', ' 1.997680409437019e-06', ' -5.271611532458977e-29', ' -5.725800608478084e-25', ' 1.2666273882919955e-31', ' 2.5256139747184695e-32', ' -9.874769997327761e-29', ' -5.274076722787829e-29', ' 1.997680409437019e-06', ' 4.843881963325009e-25', ' -3.225591055195427e-28', ' 2.0954833844816228e-29', ' 1.279711725910663e-31', ' -5.7258006084785545e-25', ' 4.84388196332642e-25', ' 0.011756971572016148)']","['(0.0025279209393147947', ' 7.840804606255718e-29', ' -4.5580005613315765e-28', ' 6.155562397590945e-30', ' -5.800883188321834e-32', ' -9.990627569158202e-29', ' 7.840804606255718e-29', ' 0.0025279209393147947', ' 3.7969137501810073e-28', ' 3.0347583582212472e-30', ' -3.780744583809736e-32', ' -9.241123301625623e-29', ' -4.558000560986734e-28', ' 3.7969137492479586e-28', ' 1.9982591863791904e-06', ' 4.464825699900603e-29', ' -3.867597319753153e-30', ' 2.1964318431407008e-32', ' 6.1555623975909445e-30', ' 3.0347583582212472e-30', ' 4.4648256999006024e-29', ' 1.9930768447952766e-06', ' 1.1017767533536925e-30', ' 5.3899636576580285e-25', ' -5.800883188322114e-32', ' -3.780744583809876e-32', ' -3.867597319753152e-30', ' 1.1003352295585856e-30', ' 1.9930768447952766e-06', ' -4.563264373577554e-25', ' -9.990627569158202e-29', ' -9.241123301625623e-29', ' 2.1964318431395623e-32', ' 5.389963657657965e-25', ' -4.563264373577617e-25', ' 0.0020169495012172856)']"
2.2243235320527685e-14,1.5825339170835648e-15,"['(0.015051947659885283', ' 4.2723100986929024e-26', ' -7.1123907033929495e-28', ' -4.8586628070208706e-32', ' 5.20684527817823e-32', ' 5.294360002291917e-28', ' 4.2723100986929024e-26', ' 0.015051947659885283', ' -5.14325239038147e-28', ' -1.1799030075184988e-32', ' 1.6715530182742454e-32', ' 7.133041304076827e-29', ' -7.112390701511699e-28', ' -5.143252388030481e-28', ' 1.9973760921011482e-06', ' -8.653464988634195e-29', ' -2.32286579544187e-31', ' -3.3962244471941725e-29', ' -4.8586628070219917e-32', ' -1.1799030075184988e-32', ' -8.653464988634195e-29', ' 1.994767432375523e-06', ' 5.110648087322771e-30', ' 6.069725540149757e-25', ' 5.20684527817823e-32', ' 1.6715530182745257e-32', ' -2.322865795441862e-31', ' 5.110648087322771e-30', ' 1.9947674323753063e-06', ' 4.412256349271716e-25', ' 5.294360002291917e-28', ' 7.133041304076827e-29', ' -3.3962244471941647e-29', ' 6.069725540148816e-25', ' 4.4122563492707755e-25', ' 0.016536938862327235)']","['(0.002501012020925122', ' -1.501731290324514e-29', ' 9.853444091820029e-28', ' -1.2025128358127162e-32', ' -7.45264987233423e-32', ' 1.1339623831625841e-29', ' -1.501731290324514e-29', ' 0.00250101202092512', ' 7.188091687166074e-28', ' -2.0711639718350372e-33', ' -9.062140732156414e-33', ' -8.745197081496863e-30', ' 9.853444091834722e-28', ' 7.18809168794438e-28', ' 1.9960698649809736e-06', ' 3.370748698251494e-30', ' -1.0224483458676259e-30', ' -6.80712990510841e-33', ' -1.2025128358127162e-32', ' -2.0711639718350372e-33', ' 3.370748698251492e-30', ' 1.9844825084966314e-06', ' 2.605933323449225e-31', ' -6.116532694469465e-27', ' -7.45264987233423e-32', ' -9.062140732157114e-33', ' -1.0224483458676202e-30', ' 7.393058695063279e-32', ' 1.9844825084966856e-06', ' -4.447615159065762e-27', ' 1.1339623831625841e-29', ' -8.745197081496863e-30', ' -6.807129905109813e-33', ' -6.116532694469098e-27', ' -4.4476151591272e-27', ' 0.0019984027921173065)']"
2.460145907027669e-14,-6.1314911047983265e-15,"['(0.020052965518123727', ' -1.2500286985428195e-26', ' -8.897386145132909e-29', ' 3.006145124236349e-32', ' 8.187715738051305e-33', ' 6.155420287052873e-30', ' -1.2500286985428195e-26', ' 0.020052965518123723', ' 8.439113360340045e-28', ' 6.459519434694338e-32', ' 1.070267219574018e-31', ' 1.043058542095769e-28', ' -8.89738615101038e-29', ' 8.439113362220835e-28', ' 1.9982791580679896e-06', ' 4.112095458160403e-30', ' 1.3701512812162183e-29', ' -2.508322608835903e-29', ' 3.006145124235228e-32', ' 6.459519434694338e-32', ' 4.112095458160405e-30', ' 1.9965648804638964e-06', ' -4.061064296705441e-30', ' 1.0928645256161117e-25', ' 8.187715738052706e-33', ' 1.070267219574018e-31', ' 1.370151281216218e-29', ' -4.849925201937932e-30', ' 1.9965648804638964e-06', ' -1.097094038704753e-24', ' 6.155420287052873e-30', ' 1.043058542095769e-28', ' -2.508322608835909e-29', ' 1.0928645256165819e-25', ' -1.097094038704941e-24', ' 0.020362005735185)']","['(0.0025030884266933253', ' 2.629750067716007e-29', ' 1.1615726404398965e-28', ' 3.3945389902710325e-33', ' 7.190249927169244e-33', ' 3.7130071234333164e-30', ' 2.629750067716007e-29', ' 0.0025030884266933253', ' -1.1784132974545362e-27', ' 2.754979972430528e-32', ' 1.949503227004643e-32', ' 1.124644661976148e-30', ' 1.161572640506018e-28', ' -1.1784132975309434e-27', ' 1.9974212013096175e-06', ' 9.831196955704633e-30', ' 2.8204887723241463e-29', ' 6.646850046262706e-32', ' 3.3945389902708574e-33', ' 2.754979972430388e-32', ' 9.831196955704634e-30', ' 1.9897725936514734e-06', ' 5.993841647058187e-30', ' -7.4347066039532305e-28', ' 7.190249927168544e-33', ' 1.949503227004643e-32', ' 2.820488772324146e-29', ' 7.069155171315688e-30', ' 1.9897725936512565e-06', ' 7.309132729425806e-27', ' 3.7130071234333164e-30', ' 1.124644661976148e-30', ' 6.646850046262567e-32', ' -7.434706604019811e-28', ' 7.309132729484397e-27', ' 0.0019989118115960824)']"
6.481022894872571e-15,1.3208398568084915e-14,"['(0.02505438393569075', ' -1.7081466461140194e-25', ' -7.785793349339732e-28', ' 2.145232502451685e-32', ' -1.110648662844996e-31', ' 2.4401962506320326e-28', ' -1.7081466461140194e-25', ' 0.02505438393569074', ' -1.1861154664567088e-28', ' -2.201001714672369e-32', ' 5.375277122105915e-32', ' -4.050378357954706e-28', ' -7.785793343695522e-28', ' -1.1861154657514122e-28', ' 1.9987197719820507e-06', ' -1.1364894165143645e-29', ' -1.158298690469234e-30', ' 2.613761970500876e-29', ' 2.145232502451685e-32', ' -2.201001714672369e-32', ' -1.1364894165143644e-29', ' 1.9974431784564994e-06', ' -6.139826879768095e-29', ' 1.4089247781085425e-24', ' -1.110648662844996e-31', ' 5.375277122107036e-32', ' -1.1582986904692447e-30', ' -6.297599060814593e-29', ' 1.997443178456933e-06', ' 2.251890865183672e-25', ' 2.4401962506320326e-28', ' -4.050378357954706e-28', ' 2.6137619705008793e-29', ' 1.4089247781082604e-24', ' 2.251890865183356e-25', ' 0.0232210331034184)']","['(0.002506880114941604', ' 3.6375540553300193e-29', ' 1.1248486709331379e-27', ' 7.786136455511396e-32', ' -4.258468707422854e-32', ' 4.6580246057384455e-29', ' 3.6375540553300193e-29', ' 0.0025068801149416035', ' 1.815040934138704e-28', ' -7.559828953746362e-31', ' -2.1122579852478266e-32', ' 1.1981629924675205e-29', ' 1.1248486710477486e-27', ' 1.8150409348187458e-28', ' 1.998081022031332e-06', ' 1.4762937748914384e-31', ' 7.720126024808834e-31', ' -5.285753355711999e-32', ' 7.786136455511676e-32', ' -7.559828953746376e-31', ' 1.4762937748914377e-31', ' 1.9923727918083048e-06', ' -6.2872013083902805e-31', ' -7.043028200767255e-27', ' -4.2584687074229943e-32', ' -2.1122579852478266e-32', ' 7.720126024808834e-31', ' 5.49020263865385e-31', ' 1.99237279180863e-06', ' -1.107293956094155e-27', ' 4.6580246057384455e-29', ' 1.1981629924675205e-29', ' -5.28575335571172e-32', ' -7.043028200770193e-27', ' -1.1072939560983334e-27', ' 0.0019992996231822393)']"
-1.7611717372367793e-14,-5.915739068773884e-16,"['(0.0300561379739777', ' -1.4636563772038733e-25', ' 2.5990432969238584e-27', ' 1.7668527313195344e-31', ' -3.424443983026636e-31', ' 4.358207114580772e-28', ' -1.4636563772038733e-25', ' 0.030056137973977683', ' 9.482085959317555e-28', ' 2.571081355989413e-32', ' -1.0912583776281597e-31', ' 7.52305226984692e-29', ' 2.599043298428491e-27', ' 9.482085959317555e-28', ' 1.9989595372387446e-06', ' -4.8221036079468597e-29', ' -5.5596707263949294e-30', ' -4.81247475625404e-30', ' 1.7668527313197586e-31', ' 2.5710813559891325e-32', ' -4.8221036079468585e-29', ' 1.997921475405638e-06', ' 4.186471844050965e-29', ' -5.8430212349880364e-24', ' -3.424443983026636e-31', ' -1.0912583776281597e-31', ' -5.5596707263949294e-30', ' 4.0286996630067626e-29', ' 1.997921475405638e-06', ' -2.1388845845627232e-24', ' 4.358207114580772e-28', ' 7.52305226984692e-29', ' -4.812474756254063e-30', ' -5.843021234987284e-24', ' -2.1388845845626292e-24', ' 0.025246456058303855)']","['(0.0025123483406076516', ' -9.926582716215886e-30', ' -3.802446370413537e-27', ' 1.5623812851246474e-30', ' -1.9959283253476913e-32', ' 9.803901277276074e-30', ' -9.926582716215886e-30', ' 0.0025123483406076516', ' -1.3884372268493403e-27', ' -1.5875757930965096e-33', ' 5.896923626396838e-32', ' -5.2511562795371144e-30', ' -3.802446370242356e-27', ' -1.3884372264807127e-27', ' 1.9984402068492883e-06', ' -1.507017023733357e-29', ' 7.239750977174881e-30', ' -4.5277051723028946e-32', ' 1.5623812851246476e-30', ' -1.5875757930964877e-33', ' -1.507017023733357e-29', ' 1.9937930326058306e-06', ' -3.7195012812742284e-30', ' 2.3804238631719197e-26', ' -1.9959283253476213e-32', ' 5.896923626396802e-32', ' 7.239750977174881e-30', ' -4.057035568348684e-30', ' 1.9937930326058848e-06', ' 8.705113869448941e-27', ' 9.803901277276074e-30', ' -5.2511562795371144e-30', ' -4.527705172302614e-32', ' 2.3804238631938868e-26', ' 8.70511386952241e-27', ' 0.001999558608008177)']"
-2.8340620895671786e-14,2.7791126523397763e-15,"['(0.0350580705831058', ' 1.6061915471778836e-26', ' 4.309820132048206e-28', ' -3.7473829342222527e-32', ' 1.291366023595705e-31', ' -1.170115727629348e-27', ' 1.6061915471778836e-26', ' 0.03505807058310579', ' -2.124790821396688e-27', ' 4.756682722729232e-32', ' -6.622183072042834e-32', ' 8.433894569895787e-28', ' 4.30982013110781e-28', ' -2.124790821396688e-27', ' 1.999057591320526e-06', ' 7.255393726050936e-29', ' 3.894701206499081e-29', ' -1.4813464932666003e-29', ' -3.747382934222813e-32', ' 4.7566827227286713e-32', ' 7.255393726050937e-29', ' 1.9981171523848155e-06', ' 3.607956694889947e-29', ' -1.0664075616920725e-24', ' 1.2913660235959291e-31', ' -6.622183072043394e-32', ' 3.894701206499081e-29', ' 2.9768679707085457e-29', ' 1.998117152384382e-06', ' 5.313089506713203e-24', ' -1.170115727629348e-27', ' 8.433894569895787e-28', ' -1.4813464932666e-29', ' -1.0664075616920725e-24', ' 5.3130895067128266e-24', ' 0.02662599026579894)']","['(0.0025174116073319406', ' 1.6176168289743966e-29', ' -6.233319567085637e-28', ' -8.176566281542722e-32', ' 1.4379462244034707e-32', ' -1.3147120800768217e-30', ' 1.6176168289743966e-29', ' 0.0025174116073319397', ' 3.135341946688748e-27', ' -9.035311204710771e-32', ' 7.606018226138905e-33', ' 5.9134480006254695e-30', ' -6.233319567554916e-28', ' 3.1353419466806664e-27', ' 1.998587126131584e-06', ' -3.278011475418721e-29', ' 1.0346625458354577e-29', ' 6.559732699677512e-32', ' -8.176566281542722e-32', ' -9.035311204711051e-32', ' -3.278011475418721e-29', ' 1.994374935164033e-06', ' -6.58822591796962e-30', ' 3.986007848042057e-27', ' 1.4379462244034006e-32', ' 7.606018226138905e-33', ' 1.0346625458354577e-29', ' -1.1145360385951261e-29', ' 1.99437493516425e-06', ' -1.9639793178012372e-26', ' -1.3147120800768217e-30', ' 5.9134480006254695e-30', ' 6.559732699677513e-32', ' 3.9860078480460976e-27', ' -1.9639793178252613e-26', ' 0.0019996701714962892)']"
-3.618047603652216e-14,1.6896982705180872e-14,"['(0.040008251220903686', ' 1.3641681400417938e-25', ' -1.2615246207959934e-27', ' 1.2888677654908067e-31', ' 2.6549695414116095e-31', ' 1.4407018519511726e-28', ' 1.3641681400417938e-25', ' 0.04000825122090367', ' 1.1671735355090513e-27', ' 6.471113787381521e-33', ' 7.541992684711138e-32', ' 9.865203376795572e-30', ' -1.2615246210779284e-27', ' 1.1671735356971304e-27', ' 1.9977329965134225e-06', ' -6.755764270738581e-30', ' 5.5089745949740054e-30', ' -2.4603077799834305e-29', ' 1.2888677654908067e-31', ' 6.471113787378719e-33', ' -6.755764270738559e-30', ' 1.9954773792327934e-06', ' -1.1317886455266537e-31', ' 9.252977966040221e-25', ' 2.654969541411161e-31', ' 7.541992684711138e-32', ' 5.508974594974007e-30', ' 6.75682040656867e-31', ' 1.9954773792327934e-06', ' -8.567338362081064e-25', ' 1.4407018519511726e-28', ' 9.865203376795572e-30', ' -2.4603077799834294e-29', ' 9.252977966040221e-25', ' -8.567338362082005e-25', ' 0.027499592980461198)']","['(0.0024784979597803737', ' 2.2037123506648374e-29', ' 1.2493479653483459e-27', ' 2.3859420027452535e-32', ' -4.09404748551982e-32', ' -1.4566387451097347e-29', ' 2.2037123506648374e-29', ' 0.002478497959780374', ' -1.1557650753714938e-27', ' -1.5177848621724056e-30', ' 7.147846870987211e-31', ' -2.1969415644348688e-29', ' 1.2493479653659783e-27', ' -1.1557650755536954e-27', ' 1.996603770325605e-06', ' 5.951148543641853e-30', ' 1.0148781367713833e-29', ' -4.443094531438592e-32', ' 2.3859420027453936e-32', ' -1.5177848621724054e-30', ' 5.9511485436418515e-30', ' 1.9865669605537725e-06', ' 9.419914488006858e-30', ' -8.119647456513709e-27', ' -4.09404748551954e-32', ' 7.147846870987211e-31', ' 1.014878136771382e-29', ' 8.983955697733537e-30', ' 1.986566960553881e-06', ' 7.506235913582152e-27', ' -1.4566387451097347e-29', ' -2.1969415644348688e-29', ' -4.4430945314383107e-32', ' -8.119647456535565e-27', ' 7.506235913547438e-27', ' 0.001978621614043618)']"
-4.672409479413394e-14,7.659855684695265e-15,"['(0.04500972173525837', ' 4.646602666795021e-25', ' 1.3830346243848766e-28', ' -4.440013852752798e-32', ' 3.01553194140044e-32', ' 1.8607752916715357e-28', ' 4.646602666795021e-25', ' 0.04500972173525836', ' 4.821129147669855e-28', ' 2.3553788156402477e-31', ' -8.554444359789587e-32', ' -5.557341771206565e-28', ' 1.3830346240319987e-28', ' 4.821129144848669e-28', ' 1.9982791580684233e-06', ' -3.556606379653986e-31', ' -1.941215910774391e-29', ' 2.2116435442616325e-30', ' -4.440013852752798e-32', ' 2.3553788156402477e-31', ' -3.5566063796538183e-31', ' 1.9965648804641132e-06', ' 1.2214315521870338e-29', ' -1.6022487450511183e-25', ' 3.0155319413998793e-32', ' -8.554444359789587e-32', ' -1.9412159107743893e-29', ' 1.1425454616649326e-29', ' 1.9965648804638964e-06', ' -5.273900832607962e-25', ' 1.8607752916715357e-28', ' -5.557341771206565e-28', ' 2.2116435442616322e-30', ' -1.6022487450508832e-25', ' -5.273900832608902e-25', ' 0.02810809744936832)']","['(0.0025067021821997895', ' 1.5590674838099873e-29', ' -1.6888137054542941e-28', ' 3.1320958058586372e-30', ' -2.636809979240182e-32', ' -1.817565081936631e-29', ' 1.5590674838099873e-29', ' 0.002506702182199789', ' -5.492512002198722e-28', ' 1.5624929958481251e-30', ' 7.361821533251958e-31', ' -3.855469397620191e-29', ' -1.6888137056748141e-28', ' -5.492512003580387e-28', ' 1.997421201310051e-06', ' -6.175159240590394e-30', ' 4.193514421961754e-30', ' -3.4262625536843584e-32', ' 3.1320958058586372e-30', ' 1.5624929958481251e-30', ' -6.175159240590392e-30', ' 1.989772593651365e-06', ' -5.9010583304587005e-30', ' 1.0910303547482572e-27', ' -2.636809979240182e-32', ' 7.36182153325196e-31', ' 4.1935144219617516e-30', ' -5.681630897462855e-30', ' 1.9897725936515276e-06', ' 3.518361709406043e-27', ' -1.817565081936631e-29', ' -3.855469397620191e-29', ' -3.426262553683238e-32', ' 1.0910303547536985e-27', ' 3.518361709449849e-27', ' 0.001998910928687414)']"
