x_position,y_position,pose_covariance,twist_covariance
0.0,0.0,"['(1e-09', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-09', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-09)']","['(0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0)']"
0.0,0.0,"['(1e-09', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-09', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-09)']","['(0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 1e-06', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0', ' 0.0)']"
1.4516813633153794e-15,1.0185076291057888e-15,"['(0.010065840175460262', ' 4.643869485228922e-22', ' 4.353797419509386e-24', ' 2.4081581341814154e-30', ' -3.962149360233062e-30', ' -1.7902885886097436e-29', ' 4.643869485228922e-22', ' 0.010065850351361018', ' -4.308447367007367e-24', ' -1.1185942630911945e-30', ' 1.3790210458532255e-30', ' -2.7965134509947534e-29', ' 4.353797419506377e-24', ' -4.308447367007367e-24', ' 1.9995051502817718e-06', ' -1.1191055615098765e-28', ' 7.863533856310243e-29', ' -1.2290167843508814e-30', ' 2.408158134181416e-30', ' -1.1185942630911946e-30', ' -1.1191055615098767e-28', ' 1.9990106997699875e-06', ' -8.667206911998074e-29', ' -7.9398611189871885e-22', ' -3.962149360233064e-30', ' 1.3790210458532255e-30', ' 7.863533856310243e-29', ' -8.667206911998075e-29', ' 1.9990106997699875e-06', ' 3.454846020649895e-21', ' -1.7902885886097436e-29', ' -2.7965134509947534e-29', ' -1.229016784350881e-30', ' -7.93986111899104e-22', ' 3.454846020649895e-21', ' 0.011384126127555325)']","['(0.0026251887096571625', ' 2.7508285857832905e-29', ' -2.1509615332392064e-24', ' 3.4118827183069236e-29', ' -4.876268812384694e-29', ' -3.359171314009843e-29', ' 2.7508285857832894e-29', ' 0.002628268317384495', ' 2.130332583493224e-24', ' -2.0942600050938024e-29', ' 1.36936724763107e-29', ' -5.561310052842906e-29', ' -2.1509615332422156e-24', ' 2.130332583497738e-24', ' 1.999257874607009e-06', ' -6.418269181766025e-29', ' 9.56203376473896e-29', ' -9.953395122058358e-29', ' 3.411882718306923e-29', ' -2.094260005093802e-29', ' -6.418269181766027e-29', ' 1.997036863681488e-06', ' -4.373842288444217e-29', ' 6.823743906708371e-24', ' -4.8762688123846934e-29', ' 1.3693672476310698e-29', ' 9.562033764738958e-29', ' -4.3738422883730304e-29', ' 1.997036863681488e-06', ' 1.9596096613883168e-23', ' -3.359171314009842e-29', ' -5.561310052842907e-29', ' -9.953395122058358e-29', ' 6.823743906708371e-24', ' 1.959609661388392e-23', ' 0.0020970318329445667)']"
6.878383195653298e-15,7.194859951546506e-15,"['(0.015102263661341453', ' 7.622587436826235e-14', ' 3.0108652136342675e-23', ' 1.306510448182351e-30', ' -7.210079007803553e-30', ' 6.559210476092978e-29', ' 7.622587436826197e-14', ' 0.015102332685233944', ' 1.2603805109887919e-23', ' -1.5523175647905683e-30', ' 8.334475299044698e-31', ' 1.5147301990583642e-28', ' 3.0108652136342675e-23', ' 1.2603805109875882e-23', ' 1.9995002037958426e-06', ' -1.367873387176289e-29', ' 2.191627567010909e-29', ' -2.739629186036611e-29', ' 1.3065104481823515e-30', ' -1.5523175647905683e-30', ' -1.3678733871762914e-29', ' 1.9990008148164547e-06', ' 1.0155881604404628e-29', ' -3.406532143297977e-20', ' -7.210079007803552e-30', ' 8.334475299044693e-31', ' 2.1916275670109085e-29', ' 1.0155881604404628e-29', ' 1.999000814816021e-06', ' -1.5822481865667184e-20', ' 6.559210476092978e-29', ' 1.514730199058364e-28', ' -2.739629186036611e-29', ' -3.406532143297361e-20', ' -1.5822481865673347e-20', ' 0.01550872029097115)']","['(0.002810390609220004', ' -1.3609891257529865e-27', ' -1.0355597133182353e-23', ' -2.5122269489768523e-29', ' 1.7530673353668112e-29', ' -1.8087821720655226e-29', ' -1.3609891257529867e-27', ' 0.002819231932350545', ' -4.346078957099225e-24', ' -7.211604391838627e-30', ' -1.0792508545316143e-30', ' -6.13850706190878e-29', ' -1.0355597133176335e-23', ' -4.346078957090197e-24', ' 1.999250457884391e-06', ' -1.2263735667375878e-28', ' 8.288103054698072e-29', ' -1.514162987969073e-28', ' -2.512226948976853e-29', ' -7.211604391838626e-30', ' -1.2263735667375878e-28', ' 1.9970073046702164e-06', ' -2.536375692922974e-29', ' -7.585090017366315e-24', ' 1.7530673353668117e-29', ' -1.0792508545316143e-30', ' 8.288103054698073e-29', ' -2.641333482680844e-29', ' 1.99700730467065e-06', ' -1.936501560417714e-23', ' -1.8087821720655237e-29', ' -6.13850706190878e-29', ' -1.5141629879690725e-28', ' -7.585090017366315e-24', ' -1.936501560417714e-23', ' 0.0022457560474276224)']"
1.159675005232286e-14,8.192375542335946e-15,"['(0.020150923881570998', ' 5.437602385561511e-13', ' -1.274418652926798e-23', ' -2.8355952183590145e-30', ' 3.0880388120112332e-30', ' -1.9942498573215692e-28', ' 5.437602385561491e-13', ' 0.020151109021157503', ' 1.2577626514307368e-23', ' 2.0830835538295185e-30', ' -4.922676027452242e-30', ' -9.778737763499616e-29', ' -1.2744186529255943e-23', ' 1.2577626514271257e-23', ' 1.9995002037958426e-06', ' -2.424447443403134e-28', ' 3.735864711546875e-28', ' 3.60919273139314e-30', ' -2.835595218359015e-30', ' 2.083083553829519e-30', ' -2.4244474434031338e-28', ' 1.9990008148142863e-06', ' -6.75269743753478e-29', ' 1.3144626639502878e-20', ' 3.088038812011229e-30', ' -4.92267602745224e-30', ' 3.7358647115468753e-28', ' -6.910469543347344e-29', ' 1.9990008148142863e-06', ' 7.187262178183429e-21', ' -1.9942498573215692e-28', ' -9.778737763499616e-29', ' 3.6091927313931426e-30', ' 1.3144626639502878e-20', ' 7.187262178184199e-21', ' 0.018629935633861814)']","['(0.0028574304288598367', ' -2.8659288547929346e-27', ' 3.6174668879288785e-24', ' 2.6487663013818675e-29', ' 6.607479252516806e-30', ' 7.339445312962176e-29', ' -2.8659288547929346e-27', ' 0.002873629220730268', ' -3.590537472504655e-24', ' -2.6033602472492474e-29', ' -1.3305829142238682e-29', ' 5.600744227139077e-30', ' 3.6174668879288785e-24', ' -3.5905374724986364e-24', ' 1.999250457888728e-06', ' 6.96484925946124e-29', ' 7.738498512985696e-29', ' 4.971061173150366e-29', ' 2.648766301381869e-29', ' -2.603360247249248e-29', ' 6.964849259461243e-29', ' 1.997007304647448e-06', ' 2.3970103423005663e-29', ' 1.3589749284758286e-23', ' 6.607479252516809e-30', ' -1.3305829142238687e-29', ' 7.738498512985698e-29', ' 2.1840402584320984e-29', ' 1.997007304647448e-06', ' 4.208222510730147e-23', ' 7.339445312962176e-29', ' 5.600744227139088e-30', ' 4.9710611731503663e-29', ' 1.3589749284758098e-23', ' 4.208222510730448e-23', ' 0.0022827185480660673)']"
2.030302594356033e-15,6.6653405857330145e-15,"['(0.025205911127336264', ' 1.6656461677891525e-12', ' -3.0346848782729916e-23', ' 5.2602400068612545e-30', ' 3.286944299032558e-30', ' 1.602559610199887e-28', ' 1.66564616778915e-12', ' 0.02520626848550636', ' -3.1088069127017206e-23', ' 6.0569743108076325e-30', ' -3.847321463931003e-30', ' -2.2847915257406903e-29', ' -3.034684878280214e-23', ' -3.108806912708943e-23', ' 1.9995002037958426e-06', ' 1.767967157984118e-29', ' -1.7648898491755822e-29', ' 1.3097613839331828e-29', ' 5.260240006861257e-30', ' 6.056974310807633e-30', ' 1.767967157984118e-29', ' 1.9990008148138526e-06', ' 1.0032800801262819e-29', ' 6.2855459110636074e-21', ' 3.286944299032558e-30', ' -3.847321463931004e-30', ' -1.7648898491755777e-29', ' 1.634368729071453e-29', ' 1.9990008148138526e-06', ' 1.7223082417731174e-20', ' 1.602559610199887e-28', ' -2.2847915257406906e-29', ' 1.3097613839331833e-29', ' 6.2855459110636074e-21', ' 1.7223082417737337e-20', ' 0.020959383976288857)']","['(0.0028711603084846642', ' -6.877661073281327e-28', ' 7.790386832252357e-24', ' 3.616999299971197e-29', ' 2.573589455580392e-30', ' 2.2386136551757704e-29', ' -6.877661073281316e-28', ' 0.0028957023044994304', ' 8.046540824072956e-24', ' 5.814980734224335e-29', ' -7.630775458370486e-30', ' 5.598051482566395e-29', ' 7.790386832246338e-24', ' 8.046540824060918e-24', ' 1.999250457886126e-06', ' -7.570757752341475e-29', ' 1.3501705894872917e-29', ' -4.653351251004501e-29', ' 3.616999299971197e-29', ' 5.814980734224337e-29', ' -7.570757752341478e-29', ' 1.997007304647665e-06', ' -3.091474944393452e-30', ' -7.380447778388063e-24', ' 2.573589455580392e-30', ' -7.630775458370489e-30', ' 1.350170589487293e-29', ' -2.051082747280652e-30', ' 1.9970073046472313e-06', ' 4.109931689941611e-24', ' 2.2386136551757715e-29', ' 5.598051482566395e-29', ' -4.6533512510045007e-29', ' -7.380447778385054e-24', ' 4.109931689941611e-24', ' 0.002291851443243821)']"
1.7974831843471836e-14,5.024078915762531e-15,"['(0.03026419392397977', ' 3.610945249370567e-12', ' 5.47145395102017e-24', ' 2.7395491029250918e-30', ' 1.2174221182215352e-30', ' 7.5902922743935615e-28', ' 3.6109452493705654e-12', ' 0.03026478895228691', ' -2.2449409013690765e-23', ' 6.094577909950036e-30', ' -3.2776584713686646e-30', ' -8.24424700056077e-29', ' 5.47145395102017e-24', ' -2.2449409013702802e-23', ' 1.9995002037949752e-06', ' -1.2176049520943771e-28', ' 1.1457914235747326e-28', ' -9.72301612635637e-30', ' 2.7395491029250915e-30', ' 6.094577909950036e-30', ' -1.217604952094377e-28', ' 1.99900081481472e-06', ' -1.5483876710799944e-29', ' 2.583235155315539e-20', ' 1.2174221182215352e-30', ' -3.2776584713686646e-30', ' 1.1457914235747324e-28', ' -1.8639318827051043e-29', ' 1.99900081481472e-06', ' 3.3891237890257397e-20', ' 7.590292274393561e-28', ' -8.244247000560769e-29', ' -9.723016126356374e-30', ' 2.583235155315539e-20', ' 3.3891237890257397e-20', ' 0.02266794383285384)']","['(0.002877913645481145', ' 2.0442282045286916e-27', ' -1.336543623544376e-24', ' -1.4783238823929865e-29', ' -3.3493666296245733e-29', ' 2.9182343007077286e-29', ' 2.044228204528692e-27', ' 0.0029113309576965065', ' 5.5271553478902226e-24', ' 1.6729140869758653e-29', ' 1.848953606459853e-29', ' 4.820729881992963e-29', ' -1.3365436235473853e-24', ' 5.527155347893232e-24', ' 1.999250457884391e-06', ' -4.5407376603854175e-29', ' -5.156060077196816e-29', ' -5.164864424605245e-29', ' -1.4783238823929868e-29', ' 1.672914086975865e-29', ' -4.540737660385418e-29', ' 1.9970073046480987e-06', ' -4.586289955494783e-30', ' 5.1591751670773993e-23', ' -3.349366629624574e-29', ' 1.8489536064598535e-29', ' -5.156060077196816e-29', ' -8.796774024167711e-30', ' 1.997007304647665e-06', ' 3.4503033422625154e-23', ' 2.918234300707728e-29', ' 4.8207298819929634e-29', ' -5.164864424605245e-29', ' 5.159175167075594e-23', ' 3.4503033422619136e-23', ' 0.0022942114665071094)']"
3.928083159980496e-14,5.568639560204539e-15,"['(0.03532425237780035', ' 6.634941365792784e-12', ' -1.0850296993803106e-23', ' -1.6784134290905808e-29', ' 1.193384608546809e-29', ' -5.591132353032315e-28', ' 6.634941365792784e-12', ' 0.035325169593691134', ' -2.074938310864682e-23', ' 3.1529474831469096e-30', ' -3.287271700114571e-30', ' -6.703661749854457e-29', ' -1.0850296993815143e-23', ' -2.0749383108634783e-23', ' 1.9995002037958426e-06', ' -1.4832467228899532e-28', ' 6.608479844492017e-29', ' -1.2954444397509092e-31', ' -1.6784134290905808e-29', ' 3.1529474831469103e-30', ' -1.4832467228899534e-28', ' 1.9990008148142863e-06', ' -1.042393646560632e-28', ' 1.8832161447186662e-20', ' 1.1933846085468092e-29', ' -3.2872717001145706e-30', ' 6.608479844492016e-29', ' -1.1686113763496661e-28', ' 1.9990008148142863e-06', ' -6.6117047675874386e-21', ' -5.591132353032316e-28', ' -6.703661749854457e-29', ' -1.2954444397509092e-31', ' 1.8832161447189744e-20', ' -6.61170476759052e-21', ' 0.023895444208429137)']","['(0.0028827362857337118', ' 1.1814844242203454e-26', ' 2.568863334913179e-24', ' 6.802910970887651e-29', ' -1.58314766648164e-29', ' -1.3535223607530516e-29', ' 1.1814844242203454e-26', ' 0.0029251797682101413', ' 4.9864833710563176e-24', ' -3.0614019187312456e-29', ' 8.706072771979373e-31', ' -4.610159427258086e-29', ' 2.5688633349146836e-24', ' 4.9864833710563176e-24', ' 1.999250457888728e-06', ' -9.776914644811638e-31', ' 1.0458367699621002e-29', ' 8.540135552996688e-29', ' 6.802910970887652e-29', ' -3.061401918731246e-29', ' -9.776914644811526e-31', ' 1.997007304647665e-06', ' -1.3230814642251554e-29', ' 1.1544332248868013e-23', ' -1.58314766648164e-29', ' 8.7060727719794e-31', ' 1.0458367699621002e-29', ' -1.8531352241592964e-29', ' 1.997007304647882e-06', ' -3.842509665323708e-23', ' -1.3535223607530527e-29', ' -4.610159427258085e-29', ' 8.540135552996688e-29', ' 1.1544332248869518e-23', ' -3.842509665321902e-23', ' 0.002294859464967675)']"
2.2378649540783426e-14,2.3970288298037793e-14,"['(0.04033398508671208', ' 1.0488893295342219e-11', ' 4.1492870129428464e-23', ' -7.75472396648085e-30', ' 2.758511811916796e-30', ' 5.078449748274147e-28', ' 1.0488893295342206e-11', ' 0.04033529903804449', ' 4.216368053198658e-23', ' 2.950514357932391e-30', ' -5.079611663806495e-30', ' -5.428559890695826e-28', ' 4.1492870129428464e-23', ' 4.2163680531938434e-23', ' 1.9994951574271377e-06', ' -1.686843924686107e-29', ' -5.0749134449607635e-30', ' -9.968063917643885e-30', ' -7.754723966480847e-30', ' 2.9505143579323923e-30', ' -1.686843924686103e-29', ' 1.9989907303285225e-06', ' -2.653249677736268e-30', ' -5.353993718643222e-20', ' 2.758511811916795e-30', ' -5.0796116638064964e-30', ' -5.0749134449607635e-30', ' 3.657640573297634e-30', ' 1.9989907303280888e-06', ' -1.3997207316938408e-20', ' 5.078449748274146e-28', ' -5.428559890695826e-28', ' -9.968063917643883e-30', ' -5.353993718641989e-20', ' -1.399720731694149e-20', ' 0.024690309399171394)']","['(0.0028531893203064254', ' 2.6555524461664454e-27', ' -9.599065753755465e-24', ' 7.848527554956698e-30', ' 2.7639695620681574e-29', ' 2.08726560007552e-29', ' 2.6555524461664468e-27', ' 0.002903217975752279', ' -9.910993480329689e-24', ' -6.85314081854866e-30', ' -2.2106109793799072e-29', ' -5.31158614066893e-29', ' -9.599065753755465e-24', ' -9.910993480329689e-24', ' 1.999242891423912e-06', ' 4.204218995260148e-29', ' 1.1783920410209123e-28', ' 9.459287475834917e-29', ' 7.848527554956709e-30', ' -6.853140818548653e-30', ' 4.2042189952601475e-29', ' 1.9969771499301833e-06', ' 3.546958324940921e-29', ' -3.281985727287904e-23', ' 2.7639695620681574e-29', ' -2.2106109793799078e-29', ' 1.1783920410209123e-28', ' 2.2860092066664947e-29', ' 1.9969771499301833e-06', ' 2.63626659002465e-23', ' 2.0872656000755195e-29', ' -5.311586140668929e-29', ' 9.459287475834916e-29', ' -3.281985727287904e-23', ' 2.6362665900261546e-23', ' 0.0022768648516288408)']"
3.825005480274174e-14,3.0486209716228524e-14,"['(0.0453950461636184', ' 1.5801138065452182e-11', ' 8.084958125978973e-25', ' -3.0502481304084513e-31', ' 1.1768791628786575e-30', ' 1.1176311047345295e-28', ' 1.580113806545218e-11', ' 0.04539691886999846', ' 3.0999051029902777e-23', ' -3.9106641616209144e-30', ' 9.106160407200775e-31', ' -2.1438549406852464e-29', ' 8.08495812597145e-25', ' 3.0999051029950925e-23', ' 1.9995002037949752e-06', ' 1.5792174755649556e-28', ' 2.608681322589043e-29', ' 8.854796329004114e-30', ' -3.0502481304084303e-31', ' -3.9106641616209144e-30', ' 1.5792174755649563e-28', ' 1.99900081481472e-06', ' 1.6550751273562253e-29', ' 4.927900648736063e-21', ' 1.1768791628786586e-30', ' 9.106160407200782e-31', ' 2.608681322589044e-29', ' 1.6550748264296714e-29', ' 1.99900081481472e-06', ' -1.9368380251539396e-20', ' 1.1176311047345293e-28', ' -2.1438549406852464e-29', ' 8.85479632900412e-30', ' 4.927900648737219e-21', ' -1.9368380251536314e-20', ' 0.025311331827868634)']","['(0.0028700293081654507', ' -9.317729446182797e-27', ' -1.866660610659444e-25', ' -2.540248194749805e-30', ' -5.214819611292848e-30', ' 4.7635703043769813e-29', ' -9.317729446182796e-27', ' 0.0029292169557627373', ' -7.277941702014355e-24', ' 3.402525309469018e-30', ' -1.9314729450723013e-29', ' -6.151393875475638e-29', ' -1.866660610651921e-25', ' -7.277941702008336e-24', ' 1.999250457888728e-06', ' -4.593947781765672e-29', ' 1.8238111702603544e-28', ' 2.4868617253071237e-28', ' -2.5402481947498057e-30', ' 3.4025253094690194e-30', ' -4.5939477817656724e-29', ' 1.9970073046240294e-06', ' -3.775102905113819e-29', ' 1.5604221779042503e-24', ' -5.214819611292848e-30', ' -1.931472945072302e-29', ' 1.823811170260355e-28', ' -3.7703354112314795e-29', ' 1.9970073046240294e-06', ' 6.70161538166806e-24', ' 4.763570304376981e-29', ' -6.151393875475637e-29', ' 2.4868617253071246e-28', ' 1.560422177903498e-24', ' 6.70161538166806e-24', ' 0.0022902522798288446)']"
